QUEST_LV_0200_20150317_000001	フィリパス直属部隊員
QUEST_LV_0200_20150317_000214	まずは、この吸収の魔法書を使ってA地域にある出来たての石化の霜を除去してください。{nl}そうすれば、次の石化の霜と共にB地域にスパルナスホーンが現れるでしょう。
QUEST_LV_0200_20150317_000215	この警備兵たちは、石化の霜やスパルナスホーンに襲われて死の危機に瀕していました。{nl}今彼らは恐怖のあまり理性を失っているので、モンスターと戦わせたところで勝算はありません。
QUEST_LV_0200_20150317_000216	石化の霜は一時的に消滅しているだけです。{nl}我々がどんな手を打っても、ルクリスが呼び寄せた天罰を防ぐことはできないのです。
QUEST_LV_0200_20150317_000217	準備はできましたか？そろそろスパルナスホーンを倒す時が来ました。{nl}しかしあまり時間の余裕はありません。どんなに偉大な啓示者でも、石化の霜に一度でも触れてしまえばそれでお終いです。{nl}B地域に行ってください。我々のように探知機に触れていれば、スパルナスホーンが襲ってくるはずです。{nl}奴を倒して、石化の霜が吹きつける前に素早く脱出してください。
QUEST_LV_0200_20150317_000218	ひたすら逃げ続けるのも良いですが、{nl}いつまでもこのままではいられません。{nl}あなたのような誠実で素晴らしい支援者がいるうちに、この問題を解決しなければなりません。
QUEST_LV_0200_20150317_000219	奴を倒せたなんて、この数年で一番嬉しい知らせですね。{nl}あとは兵士たちを十分休ませて、このことを伝えようと思います。
QUEST_LV_0200_20150317_000220	ここで誰かに会ったら必ずやってもらいたいことがあったんだ。{nl}俺達の作業場を掃除してくれないか？あちこちからモンスターが出てきて全く作業に集中できないんだよ。{nl}臆病な王国軍らはここに近づくことすらできないから気にすることはない。{nl}どうだい？力を貸してくれるか？
QUEST_LV_0200_20150317_000221	何の作業をしてるかについては企業秘密で教えてやれないが…。{nl}どうせ主のいない物だし、必要としてる者が持ち帰ればいいんだよ。
QUEST_LV_0200_20150317_000222	もう終わったのか？逃がした奴らはいない？
QUEST_LV_0200_20150317_000223	あの厳重な警備をどうやって破って来たか気にならないか？{nl}コネがあったからさ。王国軍の中には、勤務実績を上げるためにxxxの爪を 買い取る奴がいるんだよ。{nl}でも自分はモンスターと直接戦うつもりはないんだ。特にAの奴らとは…。
QUEST_LV_0200_20150317_000224	どうだ？奴らを倒して爪を集めてきてくれないか？
QUEST_LV_0200_20150317_000225	誤解するなよ。俺たちはシャベルを持った考古学者なだけで、強盗や略奪者じゃないんだ。
QUEST_LV_0200_20150317_000226	おお、これはかなりの金額になりそうだ。{nl}ありがとうな。
QUEST_LV_0200_20150317_000227	石化した都市で何か収穫を期待しているのなら早めに諦めたほうがいい。{nl}俺たち以外にもディーコ盗掘団という恐ろしい奴らがいるからな。{nl}でも…もし俺たちの仕事を手伝ってくれたら少しは報酬をやってもいいぞ。
QUEST_LV_0200_20150317_000228	A地域に行くと、ディーコ盗掘団が外部から持ち込んだ物を入れた箱がある。それを持ってきてくれないか？{nl}さっき覗いたらまだ帰ってきていない様子だったぞ。
QUEST_LV_0200_20150317_000229	あいつらは本当にずる賢い。{nl}外部から仕入れた安い骨董品を石化の霜が吹く所に置くと、{nl}あっという間に石化して何だか立派なものに変身するんだよ。{nl}大都市の貴族らはそれに騙されて、バカバカしい値段で買わされているらしい。
QUEST_LV_0200_20150317_000230	ディーコ盗掘団の奴ら、思ったよりも大きく商売するつもりなんだな。{nl}これはもの凄い量だ。ひょっとして奴らも王国軍と内通しているのか？
QUEST_LV_0200_20150317_000231	見習い彫刻家の間で石化した花とかいう物が高値で取引されているらしい。{nl}奴らはそれを見ながら偽物を作っているが、どこで手に入れられるかは分かっていないんだ。{nl}まぁ分かったところで何の得にもならんが…。
QUEST_LV_0200_20150317_000232	そこで、頼みがある。石化した花を手に入れてきてくれないか？
QUEST_LV_0200_20150317_000233	俺の弟もかつては彫刻家になるために勉強に励んでいてな。{nl}でも4年前の神樹の日以降は行方不明になってて…。{nl}もし生きていればどこかで素敵な女神像を作っているだろう。
QUEST_LV_0200_20150317_000234	これを見ると弟のことを思い出す…。{nl}奴は今どこで何をしているんだろうな。{nl}とにかく、集めてきてくれてありがとう。
QUEST_LV_0200_20150317_000235	ここに一人兄貴が来ることになっているが、いくら待っても来ないんだ。まさか、こんな広い区域を俺一人に作業させるつもりじゃないだろうな…？{nl}やっぱり何かがあったに違いない。
QUEST_LV_0200_20150317_000236	兄貴は、警備所の警備兵たちの間に隠れている。この暗号が刻まれた瓶を警備兵らに渡せば、兄貴は気づいて話しかけてくるはずだ。
QUEST_LV_0200_20150317_000237	石化の霜が通りすぎたばかりだから急いで作業しないと。{nl}石化の霜がいつ、どこで吹き始めるかは王国軍の撤収する様子を見ていればわかる。{nl}そして、その情報を誰より早く入手する方法は自ら王国軍になることさ！
QUEST_LV_0200_20150317_000238	シッ！静かに！もし見つかったら私たち二人ともお終いですよ。
QUEST_LV_0200_20150317_000239	フベルタス！あのバカがあなたをここに送ったのですか？{nl}ここの仕事が終わったら向かうと何度も言ったのに！{nl}まさか人を送ってくるとは思いもしませんでした。{nl}今ここで大問題が起きているのですよ。
QUEST_LV_0200_20150317_000240	我々の仲間がまだ都市の外に取り残されています。{nl}あなたの助けが必要です。{nl}ここにいる兵士たちの目を盗んで彼ら全員を都市内に入れることはとても不可能なので…。{nl}全員ここからいなくなってもらわなければなりません。
QUEST_LV_0200_20150317_000241	A地域で大きな騒ぎを起こすつもりです。周囲を徘徊するサルティスタを呼び寄せるのです。{nl}そのためにはモンスターから香る石の粉を入手してこなければなりませんが、やっていただけますか？
QUEST_LV_0200_20150317_000242	王国軍より一足早く仲間を通しておくべきました。{nl}しかしこの間、石化の霜が吹きつけた後なぜかレティアが急かすせいで出来なかったのです。
QUEST_LV_0200_20150317_000243	確かにこれで合っています。{nl}今これをここに注げば、まもなくサルティスタの巨大な姿が見られるでしょう。{nl}でも我々の計画はそういうものではありません！
QUEST_LV_0200_20150317_000244	ここを戦いの場にするわけにはいきません。仲間を無事に通すことができなくなります。{nl}何か良い方法がないか考えてみましょう。
QUEST_LV_0200_20150317_000245	B地域に現れるxモンスターにこの粉をまいてください。{nl}そうすると、奴らに惑わされたサルティスタが奴らに襲いかかり、{nl}それを見たレティアは警備区域を守るために動き出すはずです。
QUEST_LV_0200_20150317_000246	我々は身の上も様々です。私もかつては戦略家を目指す下級将校でした。{nl}自分が勤めていた地域が4年前の神樹の日によって地図から姿を消すまでは…。
QUEST_LV_0200_20150317_000247	全部使い切ってくれましたか？{nl}では、こいつらには申し訳ないですが、早速作戦開始ですね！
QUEST_LV_0200_20150317_000248	レティアのところに行って、サルティスタが現れてこっちに向かっていると伝えてください。{nl}たぶん彼女は信じないと思いますが、すでにサルティスタの足音が聞こえるような気がします。{nl}では急いでください！
QUEST_LV_0200_20150317_000249	彼女のところに行って、サルティスタが近づいているとだけ伝えてください。{nl}我々を疑うようなことはないはずです。
QUEST_LV_0200_20150317_000250	おかげで仲間たちを無事に通すことができました。{nl}これからもこの地域を旅していれば、興味深い真実をたくさん見つけられるはずです。{nl}そして我々の仲間たちと交流することもあるでしょう。しかしディーコ盗掘団の奴らにだけは気をつけてください。{nl}奴らは我々と違って根っからの強盗ですから。
