QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150317_000232	女神がおっしゃった最上の花園というのは、きっとノウル高原一帯のことだと思います。{nl}どうやら古い盟約のためにパラディンマスターがそこへ来たそうですから。
QUEST_LV_0100_20150317_000233	鉱山の村の村長
QUEST_LV_0100_20150317_000234	おお、これはこれは！村の恩人ではないか！{nl}
QUEST_LV_0100_20150317_000235	ノウル高原とな…。{nl}双子の橋の真ん中から下に降りて行くと銀水峡谷が出て来る。{nl}銀水峡谷から右へ入って行けばノウル高原へ行けるはずだ。
QUEST_LV_0100_20150317_000236	この啓示は女神ライマ自身であり、これを全部集めると女神が力を取り戻すのですか？{nl}驚きました…。
QUEST_LV_0100_20150317_000237	そうそう。{nl}啓示が発見されたという話は本当に必要な場合を除いてなるべく口外しないでください。{nl}噂が広まれば混乱がさらに大きくなるかもしれません。
QUEST_LV_0100_20150317_000238	あっ！報告書ですか…。{nl}初めはシャウラゴたちが補給品に何かおかしなことをしていたんです。{nl}そしてスパルナスが現れた途端、シャウラゴたちも逃げて行きました。{nl}
QUEST_LV_0100_20150317_000239	私は逃げる途中のシャウラゴに見つかって戦闘状態に…。{nl}ええ…ご覧の通り奪われました。例の報告書のことです。{nl}本当にひどい奴らだと思いませんか？
QUEST_LV_0100_20150317_000240	報告書を取り戻したら、すぐにリュダス様に届けてください。{nl}あいつら、補給品に恐ろしいことをしてたんです。
QUEST_LV_0100_20150317_000241	ああ。ムディーの報告書を見て確信が持てた。{nl}おそらく、補給品にスパルナスを引き付ける何かを入れたんだろう。{nl}例えば鳥が好きな穀物のような物を。
QUEST_LV_0100_20150317_000242	偵察に行った兵士が、シャウレムに奪われた物が大量に積まれている場所を発見したそうです。{nl}それを奪い返しましょう。{nl}我々を甘く見たことを後悔させてやるんですよ。{nl}
QUEST_LV_0100_20150317_000243	目には目を、歯には歯を。{nl}身に染みて分からせるために、どんどん攻撃を仕掛けるつもりです。
QUEST_LV_0100_20150317_000244	これからはやられっぱなしじゃいませんよ。{nl}ご協力、ありがとうございました。
QUEST_LV_0100_20150317_000245	場所はジエドの池です。{nl}シャウレムたちがそこに集まっているらしいので、気を付けてくださいね。
QUEST_LV_0100_20150317_000246	司教様の夢については特に何も聞いていません。{nl}お役に立てなくて申し訳ない…。
QUEST_LV_0100_20150317_000247	クラペダ方面の警備隊長
QUEST_LV_0100_20150317_000248	さあ、クラペダへお入りください。{nl}クラペダの中央広場でウスカ様がお待ちです。{nl}司教様も女神の夢をみたそうですが…きっとそのためでしょう。
QUEST_LV_0100_20150317_000249	クラペダ警備兵
QUEST_LV_0100_20150317_000250	ここまでご苦労さまでした。{nl}ティタス様が来てくれたのにこれだけ残ってるんですよ。昔はどんなだったか想像もできませんよね。
QUEST_LV_0100_20150317_000251	傭兵トビー
QUEST_LV_0100_20150317_000252	簡単な用事を引き受けてくれる人を探しているんです。{nl}もしも興味があるなら頼まれてみませんか？{nl}私はもう顔が知られてて無理なんです。
QUEST_LV_0100_20150317_000253	イヤならいいんですよ。{nl}他にもやってくれそうな人はいますから。
QUEST_LV_0100_20150317_000254	合格です。{nl}素晴らしい実力をお持ちのようですね。
QUEST_LV_0100_20150317_000255	欲しくなるのも分かります。{nl}いくら大王が自分の全財産を王陵建設に使ったとしても、あり得ない規模ですから。
QUEST_LV_0100_20150317_000256	見てください。これは許可されていない装備ですよ…。{nl}きっとまだこの近くにいるはずです。{nl}
QUEST_LV_0100_20150317_000257	では、偽物業者たちから何か証拠になりそうな物を手に入れて来てください。{nl}話を合わせておだてれば、油断するかもしれませんよ。
QUEST_LV_0100_20150317_000258	私は遺物偽造の証拠を探しています。{nl}あなたはまず、盗掘装備を集めて来てください。
QUEST_LV_0100_20150317_000259	もちろん、その前に実力を試させてもらいます。{nl}デザートチュチュとジガテを倒してきてください。
QUEST_LV_0100_20150317_000260	補給担当官
QUEST_LV_0100_20150317_000261	ご協力ありがとうございます。{nl}これなら十分でしょう。{nl}
QUEST_LV_0100_20150317_000262	)}{nl}余裕があったら、兵士たちに集合命令を伝えてくれ。{nl}忙しければそのままクラペダへ行ってもいいぞ。
QUEST_LV_0100_20150317_000263	偵察兵
QUEST_LV_0100_20150317_000264	危険なので、お戻りください。{nl}すぐにケッピーが襲ってきますよ。
QUEST_LV_0100_20150317_000265	あぁ、あなたも啓示を受けられた方でしたか。{nl}一緒に戦うのも何かの縁ですから、良いことを教えてあげましょう。
QUEST_LV_0100_20150317_000266	そういえば、集合命令を伝えに来たんでしたよね？{nl}実は荷袋を無くしてしまって、見つかるまで戻れないんです…。
QUEST_LV_0100_20150317_000267	荷袋は見つかりましたか？{nl}あれが無いと戻れないんです…。
QUEST_LV_0100_20150317_000268	もう見つけたんですか？早いですね！{nl}ありがとうございます。
QUEST_LV_0100_20150317_000269	上の道を辿って行けば捜索兵がいるはずです。{nl}彼にも集合命令を伝えてください。
QUEST_LV_0100_20150317_000270	ライモナス
QUEST_LV_0100_20150317_000271	女神像に祈りを捧げたことはあるかな？{nl}ないならば、一度してみるといいぞ。
QUEST_LV_0100_20150317_000272	それはどの女神かによって違う。{nl}右側の道を辿って行ってみろ。{nl}女神ジェミナの像があるから、女神の祝福を感じて見るといいさ。
QUEST_LV_0100_20150317_000273	モンスターたちが女神像を壊したりしないか心配でもあってな。
QUEST_LV_0100_20150317_000274	なんと！モンスターが出たのか？{nl}君も女神像も無事でよかった。{nl}この辺りのモンスターたちは女神を畏れているようだな。{nl}
QUEST_LV_0100_20150317_000275	クラペダは陰森街道を辿っていけばすぐだ。{nl}では、女神の加護があらんことを。
QUEST_LV_0100_20150317_000276	クラペダへ行くなら頼みがある。{nl}インフロラクターのせいでクラペダへ行くのが大変なんだ。{nl}数が多すぎるから少し倒してくれないか。
QUEST_LV_0100_20150317_000277	女神像をしっかり守っていれば、女神たちも早く帰って来てくれるんじゃないか…。
QUEST_LV_0100_20150317_000278	交差路キャンプの左の道を行くといい。{nl}{-scp SCR_DIALOG_NPC_ANIM(
QUEST_LV_0100_20150317_000279	)}すぐに兵士たちに会えるはずだ。
QUEST_LV_0100_20150317_000280	そうか。ご苦労だったな。クラペダはここから陰森街道を辿ってけばすぐだ。{nl}陰森街道前にいるライモナスが君に頼みたいことがあるそうだから、{nl}よかったら聞いてやってくれ。{nl}クラペダに着いたらウスカ様のところへ行くのを忘れないように。
QUEST_LV_0100_20150317_000281	戦闘班長
QUEST_LV_0100_20150317_000282	色々お世話になったので、残りの集合命令は私の部下に伝えさせましょう。{nl}ティタス様にもそうお伝えください。
QUEST_LV_0100_20150317_000283	そう難しい話じゃない。{nl}すぐにクラペダへ行きたいなら入口まで送ってあげよう。
QUEST_LV_0100_20150317_000284	捜索兵
QUEST_LV_0100_20150317_000285	本当に困ったことになりました。{nl}ケッピーがあんなに大きくなるなんて。
QUEST_LV_0100_20150317_000286	啓示者たちはこんなところではなく、クラペダへ行くんじゃありませんでしたか？
QUEST_LV_0100_20150317_000287	西の森に派遣されて良かったです。{nl}場所によっては死んだ方がマシだって言いますから。
QUEST_LV_0100_20150317_000288	女神像を見かけたら、通り過ぎずに祈りを捧げるといいよ。{nl}きっと良いことがあるだろうから。
QUEST_LV_0100_20150317_000289	ここは危険地域です。何の用ですか？
QUEST_LV_0100_20150317_000290	ご協力ありがとうございました。{nl}ビッグケッピーがここにまで現れるとは…ティタス様に報告しなければ。
QUEST_LV_0100_20150317_000291	こんな場所に現れるモンスターではないのに、おかしいですね。{nl}しばらくは安心して歩くこともできないようです。
QUEST_LV_0100_20150317_000292	もう集合なんですか？{nl}困りましたね。任務が山積みなんですよ。
QUEST_LV_0100_20150317_000293	まずは辺りのハナミンを退治してください。{nl}ついでにハナミンの花びらも集めてくださいね。
QUEST_LV_0100_20150317_000294	啓示者ではなく女神が来たとしても、任務を終えるまで戻れません。
QUEST_LV_0100_20150317_000295	これだけあれば十分です。助かりました。{nl}これはスタミナを一瞬で回復してくれる薬なんですが、{nl}私はたくさん持っているので、あなたに差し上げましょう。
QUEST_LV_0100_20150317_000296	移動で消耗したスタミナはルーツクリスタルを壊したり、休息をとることで回復します。{nl}でもモンスターに追われてる時はそんな余裕ありませんよね？{nl}そんな時こそ、この薬の出番です。
QUEST_LV_0100_20150317_000297	部下たちから話を聞いて心配していたんです。{nl}まさか倒してくるなんてすごいですね。ありがとうございます。
QUEST_LV_0100_20150317_000298	クラペダの住民
QUEST_LV_0100_20150317_000299	女神はもう戻って来てくださるんでしょうか？{nl}啓示者様たちを捕まえて尋ねてみてもみんなクラペダへ行くんだって言うばかりで…。
QUEST_LV_0100_20150317_000300	啓示者様ですよね？{nl}女神が出て来る夢を見たんでしょう？{nl}兵士たちからそう聞きました。
